encounter_id,zone_id,map_name_index,zone_map_name,pokedex_area_index,pokedex_area_name,encounter_size,seasonal_blocks,sha1,differs_black_white,area_assignment_basis
0,6,6,Striaton City,2,Striaton City,232,1,e6ff469ab9ade6479477fea306ed6bf5da47384f,1,zone map name exact
1,96,10,Driftveil City,6,Driftveil City,232,1,3db84c2b755b4159be059eef214265f49f828ed4,0,zone map name exact
2,113,12,Icirrus City,8,Icirrus City,928,4,a472acf8e5e8737bf5d75573e6444edf9aa2c422,0,zone map name exact
3,152,32,Dreamyard,18,Dreamyard,232,1,d1fe1530e900f8e50530238575abcdd7a900bb4b,0,zone map name exact
4,153,32,Dreamyard,18,Dreamyard,232,1,04b6cac76cc06b66f00afb3c121a9687a4c1ba05,0,zone map name exact
5,154,33,Pinwheel Forest,19,Pinwheel Forest,232,1,2837b3990d10a1ada3a6c77a6d4f0281bb57871d,1,zone map name exact
6,155,33,Pinwheel Forest,19,Pinwheel Forest,232,1,55c5e379ed28b916a58523b14ca440618c2892db,1,zone map name exact
7,157,34,Desert Resort,20,Desert Resort,232,1,441434a8f7465d71416cdef92bfa9bac9fb987b3,0,zone map name exact
8,158,34,Desert Resort,20,Desert Resort,232,1,000dd6ca625b517e788a8b1091efb8800953c5bb,0,zone map name exact
9,160,35,Relic Castle,21,Relic Castle,232,1,df5d8f7a83a691085bbdf4f324a7b3082a036c4d,0,zone map name exact
10,161,35,Relic Castle,21,Relic Castle,232,1,df5d8f7a83a691085bbdf4f324a7b3082a036c4d,0,zone map name exact
11,162,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
12,163,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
13,164,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
14,165,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
15,166,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
16,167,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
17,168,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
18,169,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
19,170,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
20,171,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
21,172,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
22,173,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
23,174,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
24,175,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
25,176,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
26,177,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
27,178,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
28,179,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
