id,path,role,file_count,evidence,verification,conflict,source_notes
white-main-text,/a/0/0/2,main/system text,TBD,Corroborated path role,Unverified,no,"PPRE White mapping; BW translation/tooling evidence"
white-story-text,/a/0/0/3,story text,TBD,Corroborated path role,Unverified,no,"PPRE White mapping; paired-BW research"
white-maps,/a/0/0/8,map resources,TBD,Single-source,Unverified,no,"Paired-BW public ROM-content documentation; White-specific census pending"
white-personal,/a/0/1/6,Pokemon personal data,TBD,Direct technical,Unverified,no,"PPRE explicitly maps White"
white-growth,/a/0/1/7,experience/growth table,TBD,Direct technical,Unverified,no,"PPRE shared Gen V mapping"
white-level-moves,/a/0/1/8,level-up learnsets,TBD,Direct technical,Unverified,no,"PPRE shared Gen V mapping"
white-evolutions,/a/0/1/9,evolution data,TBD,Direct technical,Unverified,no,"PPRE explicitly maps White"
white-base-evo,/a/0/2/0,base-evolution/baby lookup,TBD,Direct technical,Unverified,no,"PPRE role label; exact format TBD"
white-move-data,/a/0/2/1,move data,TBD,Direct technical,Unverified,no,"PPRE explicitly maps White"
white-font-set,/a/0/2/3,font set,TBD,Reported,Unverified,no,"Japanese BW text/font reconstruction; White-specific evidence pending"
white-item-data,/a/0/2/4,item data,TBD,Direct technical,Unverified,no,"PPRE shared Gen V mapping"
white-overworld-sprites,/a/0/4/9,overworld sprites,TBD,Reported,Unverified,no,"Paired-BW public ROM-content documentation"
white-scripts,/a/0/5/7,in-game scripts,TBD,Corroborated for BW pair,Unverified,no,"Project Pokemon B/W script research"
white-trdata,/a/0/9/2,trainer metadata,TBD,Corroborated,Unverified,no,"B/W Trainer Editor; TrainerTyrant"
white-trpoke,/a/0/9/3,trainer parties,TBD,Corroborated,Unverified,no,"B/W Trainer Editor; TrainerTyrant"
white-overworld-events,/a/1/2/5,overworld/map-event data,TBD,Corroborated for BW pair,Unverified,no,"Project Pokemon B/W overworld/script research"
white-encounters,/a/1/2/6,wild encounter tables,TBD,Direct technical / paired-version,Unverified,no,"PPRE; public B/W encounter tooling"
