path,black_file_id,white_file_id,black_size,white_size,black_members,white_members,archive_equal,different_member_count,different_member_indexes
a/0/0/0,242,242,2924,2924,5,5,true,0,
a/0/0/1,243,243,54228,54228,8,8,true,0,
a/0/0/2,244,244,3054740,3054740,288,288,true,0,
a/0/0/3,245,245,1603248,1603248,472,472,true,0,
a/0/0/4,246,246,7889304,7889304,14285,14285,true,0,
a/0/0/5,247,247,39236,39236,13,13,true,0,
a/0/0/6,248,248,9042232,9042232,733,733,true,0,
a/0/0/7,249,249,779916,779916,1431,1431,true,0,
a/0/0/8,250,250,18199420,18199420,649,649,true,0,
a/0/0/9,251,251,18620,18620,255,255,true,0,
a/0/1/0,252,252,812,812,1,1,true,0,
a/0/1/1,253,253,2823204,2823204,222,222,true,0,
a/0/1/2,254,254,20556,20556,1,1,true,0,
a/0/1/4,256,256,11946732,11946732,282,282,true,0,
a/0/1/5,257,257,172,172,5,5,true,0,
a/0/1/6,258,258,46780,46780,669,669,true,0,
a/0/1/7,259,259,3348,3348,8,8,true,0,
a/0/1/8,260,260,46904,46904,668,668,true,0,
a/0/1/9,261,261,34788,34788,668,668,true,0,
a/0/2/0,262,262,7852,7852,650,650,true,0,
a/0/2/1,263,263,24692,24692,560,560,true,0,
a/0/2/2,264,264,3800,3800,3,3,true,0,
a/0/2/3,265,265,650120,650120,8,8,true,0,
a/0/2/4,266,266,27640,27640,627,627,true,0,
a/0/2/5,267,267,565576,565576,1005,1005,true,0,
a/0/2/6,268,268,22228,22528,15,15,false,8,0;1;2;3;4;6;7;8
a/0/2/7,269,269,85968,85968,17,17,true,0,
a/0/2/8,270,270,68224,68224,17,17,true,0,
a/0/2/9,271,271,79564,79564,18,18,true,0,
a/0/3/0,272,272,109492,109492,35,35,true,0,
a/0/3/1,273,273,51012,51012,24,24,true,0,
a/0/3/2,274,274,60324,60324,97,97,true,0,
a/0/3/3,275,275,97944,97944,33,33,true,0,
a/0/3/4,276,276,192004,192004,39,39,true,0,
a/0/3/5,277,277,7780,7780,16,16,true,0,
a/0/3/6,278,278,28172,28172,14,14,true,0,
a/0/3/7,279,279,5436,5436,1,1,true,0,
a/0/3/8,280,280,636,636,1,1,true,0,
a/0/3/9,281,281,16468,16468,18,18,true,0,
a/0/4/0,282,282,195596,195596,53,53,true,0,
a/0/4/1,283,283,114144,114144,33,33,true,0,
a/0/4/2,284,284,1500,1500,1,1,true,0,
a/0/4/3,285,285,175336,175336,47,47,true,0,
a/0/4/4,286,286,55112,55112,12,12,true,0,
a/0/4/5,287,287,91248,91248,102,102,true,0,
a/0/4/6,288,288,92312,92312,27,27,true,0,
a/0/4/7,289,289,624420,624420,80,80,true,0,
a/0/4/8,290,290,22436,22436,1,1,true,0,
a/0/4/9,291,291,3645668,3645668,764,764,true,0,
a/0/5/0,292,292,4780,4780,2,2,true,0,
a/0/5/1,293,293,1672,1672,9,9,true,0,
a/0/5/2,294,294,8914092,8914092,14285,14285,true,0,
a/0/5/3,295,295,3296,3296,19,19,true,0,
a/0/5/4,296,296,10928,10928,11,11,true,0,
a/0/5/5,297,297,8960,8960,29,29,true,0,
a/0/5/6,298,298,72308,72308,44,44,true,0,
a/0/5/7,299,299,447336,447336,899,899,true,0,
a/0/5/8,300,300,8876,8876,17,17,true,0,
a/0/5/9,301,301,89292,89292,18,18,true,0,
a/0/6/0,302,302,1732,1732,1,1,true,0,
a/0/6/1,303,303,44180,44180,56,56,true,0,
a/0/6/2,304,304,7932,7932,10,10,true,0,
a/0/6/3,305,305,44504,44504,17,17,true,0,
a/0/6/4,306,306,51376,51376,48,48,true,0,
a/0/6/5,307,307,33436,33436,2,2,true,0,
a/0/6/6,308,308,435516,435516,601,601,true,0,
a/0/6/7,309,309,47252,47252,98,98,true,0,
a/0/6/8,310,310,10968,10968,3,3,true,0,
a/0/6/9,311,311,84028,84028,29,29,true,0,
a/0/7/0,312,312,24200,24200,6,6,true,0,
a/0/7/1,313,313,65652,65652,39,39,true,0,
a/0/7/2,314,314,254480,254480,760,760,true,0,
a/0/7/3,315,315,51376,51376,48,48,true,0,
a/0/7/4,316,316,956,956,1,1,true,0,
a/0/7/5,317,317,488456,488456,151,151,true,0,
a/0/7/6,318,318,90200,90200,29,29,true,0,
a/0/7/7,319,319,75500,75500,8,8,true,0,
a/0/7/8,320,320,170496,170496,179,179,true,0,
a/0/7/9,321,321,164308,164308,34,34,true,0,
a/0/8/0,322,322,132,132,1,1,true,0,
a/0/8/1,323,323,372,372,14,14,true,0,
a/0/8/2,324,324,848,848,2,2,true,0,
a/0/8/3,325,325,73488,73488,172,172,true,0,
a/0/8/4,326,326,5384,5384,4,4,true,0,
a/0/8/5,327,327,177788,177788,21,21,true,0,
a/0/8/6,328,328,3356,3356,1,1,false,1,0
a/0/8/7,329,329,168,168,1,1,true,0,
a/0/8/8,330,330,184160,184160,40,40,true,0,
a/0/8/9,331,331,42088,42088,24,24,true,0,
