file_no,confirmed_url,title_or_scope,state,evidence_role,notes
001,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_01/file1.html,Unova region,Confirmed,Official primary,
002,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_01/file2.html,Entirely new Pokémon,Confirmed,Official primary,
003,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_01/file3.html,Random Wi-Fi battles with nationwide players,Confirmed,Official primary,
004,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_02/file4.html,Reshiram in Pokémon Black,Confirmed,Official primary,
005,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_02/file5.html,Zekrom in Pokémon White,Confirmed,Official primary,
006,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_02/file6.html,Renewed field graphics,Confirmed,Official primary,
007,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_03/file7.html,Snivy Tepig Oshawott starters,Confirmed,Official primary,
008,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_03/file8.html,Professor Juniper,Confirmed,Official primary,
009,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_03/file9.html,N,Confirmed,Official primary,
010,unknown,unknown,Unresolved,Unknown,Do not infer URL/title solely from sequence pattern
011,unknown,unknown,Unresolved,Unknown,Do not infer URL/title solely from sequence pattern
012,unknown,unknown,Unresolved,Unknown,Do not infer URL/title solely from sequence pattern
013,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_05/file13.html,C-Gear communication features,Confirmed,Official primary,
014,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_05/file14.html,C-Gear live player/status communication,Confirmed,Official primary,
015,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_05/file15.html,Xtransceiver video/voice communication,Confirmed,Official primary,DSi/DSi LL video; DS/DS Lite audio-only note
016,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_06/file16.html,Team Plasma,Confirmed,Official primary,
017,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_06/file17.html,Pokémon Global Link / PC-web linkage,Confirmed,Official primary,
018,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_06/file18.html,Black City / White Forest version-location difference,Confirmed,Official primary,
019,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_07/file19.html,Entralink / enter another player's world,Confirmed,Official primary,
020,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_07/file20.html,Kanji or hiragana message-display choice,Confirmed,Official primary,
021,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_07/file21.html,Cheren and Bianca,Confirmed,Official primary,
022,unknown,unknown,Unresolved,Unknown,Do not infer URL/title solely from sequence pattern
023,unknown,unknown,Unresolved,Unknown,Do not infer URL/title solely from sequence pattern
024,unknown,unknown,Unresolved,Unknown,Do not infer URL/title solely from sequence pattern
025,unknown,unknown,Unresolved,Unknown,Do not infer URL/title solely from sequence pattern
026,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_09/file26.html,Pokémon Musical,Confirmed,Official primary,
027,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_09/file27.html,Dark grass / double wild encounters,Confirmed,Official primary,
